'就业' 出现：43次
'
' 出现：761次
'最大' 出现：1次
'民生' 出现：1次
'今年' 出现：5次
'全国' 出现：7次
'两会' 出现：1次
'会上' 出现：1次
'焦点' 出现：1次
'面对' 出现：1次
'需求' 出现：1次
'收缩' 出现：1次
'供给' 出现：3次
'冲击' 出现：1次
'预期' 出现：1次
'三重' 出现：1次
'重压' 出现：1次
'压力' 出现：1次
'政府' 出现：3次
'工作' 出现：3次
'报告' 出现：10次
'提出' 出现：8次
'，' 出现：6次
'“' 出现：8次
'强化' 出现：4次
'优先' 出现：8次
'政策' 出现：16次
'”' 出现：13次
'各地' 出现：2次
'千方' 出现：1次
'千方百计' 出现：1次
'百计' 出现：1次
'稳定' 出现：1次
'扩大' 出现：1次
'。' 出现：15次
'加力' 出现：1次
'落地' 出现：2次
'城镇' 出现：1次
'新增' 出现：2次
'1100' 出现：1次
'目标' 出现：2次
'实现' 出现：2次
'记者' 出现：1次
'采访' 出现：1次
'多位' 出现：1次
'代表' 出现：5次
'委员' 出现：4次
'专家' 出现：1次
'关键' 出现：2次
'市场' 出现：5次
'市场主体' 出现：4次
'场主' 出现：4次
'主体' 出现：4次
'拿到' 出现：1次
'全国人大' 出现：3次
'国人' 出现：4次
'人大' 出现：3次
'人大代表' 出现：3次
'江苏' 出现：4次
'江苏省' 出现：3次
'人力' 出现：1次
'人力资源' 出现：1次
'资源' 出现：1次
'社会' 出现：6次
'社会保障' 出现：2次
'保障' 出现：4次
'厅长' 出现：1次
'注意' 出现：1次
'高频' 出现：1次
'高频词' 出现：1次
'足见' 出现：1次
'高度' 出现：1次
'高度重视' 出现：1次
'重视' 出现：1次
'置于' 出现：1次
'宏观' 出现：1次
'宏观政策' 出现：1次
'观政' 出现：1次
'层面' 出现：1次
'财税' 出现：2次
'金融' 出现：3次
'围绕' 出现：1次
'实施' 出现：5次
'各类' 出现：2次
'专项' 出现：1次
'要强' 出现：1次
'优化' 出现：2次
'创业' 出现：4次
'不合' 出现：1次
'不合理' 出现：1次
'合理' 出现：1次
'限制' 出现：1次
'坚决' 出现：2次
'清理' 出现：1次
'取消' 出现：1次
'先是' 出现：1次
'标定' 出现：1次
'定位' 出现：1次
'促进' 出现：4次
'责任' 出现：1次
'制定' 出现：3次
'定' 出现：2次
'要' 出现：1次
'加强' 出现：2次
'产业' 出现：1次
'协同' 出现：1次
'评价' 出现：1次
'充分考虑' 出现：1次
'考虑' 出现：1次
'拉动' 出现：1次
'动作' 出现：1次
'作用' 出现：2次
'服务' 出现：3次
'提供' 出现：1次
'便捷' 出现：1次
'高效' 出现：1次
'为民' 出现：1次
'民办' 出现：1次
'办实事' 出现：1次
'实事' 出现：1次
'首要' 出现：1次
'内容' 出现：1次
'’' 出现：1次
'浙江' 出现：1次
'职业' 出现：4次
'学院' 出现：1次
'院校' 出现：1次
'院校长' 出现：1次
'校长' 出现：1次
'表示' 出现：3次
'当前' 出现：1次
'经济' 出现：1次
'稳步' 出现：1次
'恢复' 出现：2次
'部分' 出现：2次
'分行' 出现：1次
'分行业' 出现：1次
'行业' 出现：1次
'企业' 出现：9次
'业生' 出现：7次
'生产' 出现：1次
'产经' 出现：1次
'经营' 出现：1次
